phi_raw,energy_hartree,step,phi_deg,psi_raw,psi_deg,source_file
-169.2587061026,-688.99114039,0,-169.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-159.2587061026,-688.990919175,1,-159.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-149.2587061026,-688.990446751,2,-149.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-139.2587061026,-688.989754363,3,-139.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-129.2587061026,-688.989255074,4,-129.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-119.2587061026,-688.988795619,5,-119.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-109.2587061026,-688.988258896,6,-109.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-99.2587061026,-688.987559853,7,-99.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-89.2587061026,-688.986702961,8,-89.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-79.2587061026,-688.985598588,9,-79.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-69.2587061026,-688.984043188,10,-69.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-59.2587061026,-688.981751549,11,-59.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-49.2587061026,-688.978619892,12,-49.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-39.2587061026,-688.97668708,13,-39.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-29.2587061026,-688.973502722,14,-29.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-19.2587061026,-688.969786733,15,-19.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
-9.2587061026,-688.965785461,16,-9.258706102600001,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
0.7412938974,-688.961759796,17,0.7412938973999985,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
10.7412938974,-688.958306613,18,10.741293897399999,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
20.7412938974,-688.98707824,19,20.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
30.7412938974,-688.989459521,20,30.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
40.7412938974,-688.99144156,21,40.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
50.7412938974,-688.993068457,22,50.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
60.7412938974,-688.994251222,23,60.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
70.7412938974,-688.994776922,24,70.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
80.7412938974,-688.994616698,25,80.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
90.7412938974,-688.993947647,26,90.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
100.7412938974,-688.993006274,27,100.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
110.7412938974,-688.991985403,28,110.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
120.7412938974,-688.991044541,29,120.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
130.7412938974,-688.990144091,30,130.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
140.7412938974,-688.989273998,31,140.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
150.7412938974,-688.98927919,32,150.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
160.7412938974,-688.989622684,33,160.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
170.7412938974,-688.99024864,34,170.7412938974,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
180.7412938974,-688.990892329,35,-179.2587061026,233.4699791,-126.53002090000001,pmp_2d_13_tot_ener.txt
