system,temperature_K,method,trans_percent,cis_percent,intermediate_percent
SAR,200,neighbor_mc,100.0,0.0,0.0
SAR,200,global_mc,99.33333333333333,0.6666666666666666,0.0
SAR,200,boltzmann,99.2748285138835,0.7119455574565331,0.013225928659954264
SAR,300,neighbor_mc,100.0,0.0,0.0
SAR,300,global_mc,95.28888888888889,4.622222222222222,0.08888888888888889
SAR,300,boltzmann,95.50503638445427,4.268751711187468,0.22621190435827004
SAR,500,neighbor_mc,99.22222222222223,0.0,0.7777777777777778
SAR,500,global_mc,83.08888888888889,14.866666666666667,2.0444444444444443
SAR,500,boltzmann,82.81705147848282,15.136463610327084,2.046484911190098
PMP,200,neighbor_mc,100.0,0.0,0.0
PMP,200,global_mc,97.35555555555555,2.6222222222222222,0.022222222222222223
PMP,200,boltzmann,97.3550291801919,2.5755436575225237,0.06942716228557008
PMP,300,neighbor_mc,99.97777777777777,0.0,0.022222222222222223
PMP,300,global_mc,89.53333333333333,9.933333333333334,0.5333333333333333
PMP,300,boltzmann,90.27427647106495,9.146777552012116,0.5789459769229374
PMP,500,neighbor_mc,99.37777777777778,0.0,0.6222222222222222
PMP,500,global_mc,76.15555555555555,20.288888888888888,3.5555555555555554
PMP,500,boltzmann,76.22955269022715,20.774559767478973,2.9958875422938696
